patent_id,title,organization
7464899,Method and system for determining a singularity free momentum path,"Honeywell International, Inc."
7512466,"High-torque, low power reaction wheel array and method","Honeywell International, Inc."
7561947,Dynamic CMG array and method,"Honeywell International, Inc."
7580778,Methods and systems for controlling multi-body vehicles with fuel slosh,"Honeywell International, Inc."
7608951,Fully redundant spacecraft power and attitude control system,"Honeywell International, Inc."
7690602,Satellite active motion damping,"Honeywell International, Inc."
7693619,Method and system for controlling sets of collinear control moment gyroscopes with offset determination without attitude trajectory of spacecraft,"Honeywell International, Inc."
7721998,Self-powered spacecraft attitude control system and method,"Honeywell International, Inc."
7805226,Hierarchical strategy for singularity avoidance in arrays of control moment gyroscopes,"Honeywell International, Inc."
7953523,Active control of soft hybrid isolation systems,"Honeywell International, Inc."
7985162,Signal torque module assembly for use in control moment gyroscope,"Honeywell International, Inc."
7997157,Control moment gyroscope,"Honeywell International, Inc."
8002251,Vibration reduction system employing active bearing mounts,"Honeywell International, Inc."
8014911,Methods and systems for imposing a momentum boundary while reorienting an agile vehicle with control moment gyroscopes,"Honeywell International, Inc."
8127631,Rotor assembly including strain relief feature,"Honeywell International, Inc."
8205514,Control moment gyroscope,"Honeywell International, Inc."
8209070,Methods and systems for efficiently orienting an agile vehicle using a gyroscope array,"Honeywell International, Inc."
8260036,Object detection using cooperative sensors and video triangulation,"Honeywell International, Inc."
8324538,Systems and methods for limiting input power and RMS input current drawn from a DC power source,"Honeywell International, Inc."
8312782,Control moment gyroscope based momentum control systems in small satellites,"Honeywell International, Inc."
8346538,Methods and systems for reducing angular velocity using a gyroscope array,"Honeywell International, Inc."
8590407,Control moment gyroscope assembly and method for making the same,"Honeywell International, Inc."
8596151,Momentum exchange assemblies and inner gimbal assemblies for use in control moment gyroscopes,"Honeywell International, Inc."
8678323,Launch lock assemblies including axial gap amplification devices and spacecraft isolation systems including the same,"Honeywell International, Inc."
8708322,Payload launch lock mechanism,"Honeywell International, Inc."
8726762,Tunable mass damper for use with a reaction wheel assembly,"Honeywell International, Inc."
8868260,Consolidated vehicle propulsion control using integrated modular avionics,"Honeywell International, Inc."
8899389,Thermally-conductive vibration isolators and spacecraft isolation systems employing the same,"Honeywell International, Inc."
8918236,Methods and systems for adjusting attitude using reaction wheels,"Honeywell International, Inc."
8919213,Control moment gyroscopes including rotors having radially-compliant spokes and methods for the manufacture thereof,"Honeywell International, Inc."
9354079,Control moment gyroscopes including torsionally-stiff spoked rotors and methods for the manufacture thereof,"Honeywell International, Inc."
9416842,Isolators having damper-external thermal compensators and spacecraft isolation systems employing the same,"Honeywell International, Inc."
9440751,Ultra low noise data acquisition circuit,"Honeywell International, Inc."
9475594,Launch lock assemblies with reduced preload and spacecraft isolation systems including the same,"Honeywell International, Inc."
9511882,Configurable space station momentum,"Honeywell International, Inc."
9561873,Gimbal over rate prevention system and method,"Honeywell International, Inc."
9612117,Integrated reaction wheel assembly arrays and multi-rotor chassis suitable for usage therein,"Honeywell International, Inc."
9670983,Isolators including damper assemblies having variable annuli and spacecraft isolation systems employing the same,"Honeywell International, Inc."
9791278,Navigating with star tracking sensors,"Honeywell International, Inc."
9947232,Methods and apparatus for identifying terrain suitable for aircraft landing,"Honeywell International, Inc."
7270301,"Surface optical reflector, for space craft such as a geostationary satellite",Thales
9908641,Satellite propulsion device allowing passive elimination of pressurizing gas,Thales
9975652,Boxed unwindable solar generator,Thales
9969509,Knock prevention device for unfurling structure,Thales
9944411,Satellite with variable master cross section,Thales
9957067,Propulsion system in two modules for satellite orbit control and attitude control,Thales
9878807,Thrust nozzle system and method for the orbit and attitude control of a geostationary satellite,Thales
9835711,Device and method for positioning a star tracker on a structure,Thales
9841241,Mechanical-thermal structure suitable for a space environment,Thales
9796485,Retractable deployable structure using a tape spring,Thales
9798008,Method of guidance for placing a satellite on station,Thales
9764857,"Deployable mast with spontaneous autonomous deployment, and satellite",Thales
9676502,Assembly for aiming an instrument,Thales
9718639,"Device for unfurling and refurling a flexible structure, and a flexible unfurlable structure and satellite both equipped with such a device",Thales
9605430,Tape spring retractable deployable structure and method,Thales
9669949,Tape spring deployable structure,Thales
9650159,Method and device for electric satellite propulsion,Thales
9650160,Satellite with deployable payload modules,Thales
9309011,Adapted torque motorisation system for deployable spatial structures,Thales
9399528,Method and system for stationing a satellite,Thales
9387942,Propulsion system with four modules for satellite orbit control and attitude control,Thales
9573703,Propulsion system for controlling the orbit and controlling the attitude of a satellite,Thales
9527607,Propulsion system for satellite orbit control and attitude control,Thales
8734043,Webbed through pivot,Thales
8757553,Active tie-rod system for holding and smoothly releasing space appendages,Thales
8783620,Method and system for controlling a set of at least two satellites adapted to provide a service,Thales
8783621,"Method and system for controlling a set of at least two satellites, designed to provide a service on a geostationary orbit, rendering said service on a non-geostationary orbit",Thales
8770521,Device for protecting an optical instrument of a satellite,Thales
8798816,Method and system for unloading the inertia wheels of a spacecraft,Thales
8952847,"System of geographical location of a radio signal transmitter located on the earth's surface, and associated method of distributed interferometry",Thales
8992108,Self-driven articulation and self-regulated articulated assembly,Thales
8939408,Hybrid assembly equipped with at least one solar panel,Thales
8939588,Device for protection of a multibeam optical instrument,Thales
9079672,Through-pivot with flexible elements and spacecraft comprising such a pivot,Thales
9045241,Method for reducing the angular momentum and controlling the attitude of a spacecraft,Thales
9221559,Autonomous spontaneous deployment deployable mast and satellite including at least one such mast,Thales
9227739,Motorization system for a hinge with crossed winding means with reliability-enhanced rolling,Thales
9206872,Unfurling structure with knock prevention device,Thales
9210403,System for space-based imaging in three dimensions,Thales
9212692,Compact flexible cardan joint and spacecraft comprising such a joint,Thales
9284071,Device and method for deorbiting of a satellite,Thales
9242744,Motorization system with torque suitable for hinge with crossed winding means,Thales
8245587,System for deploying spatial appendices and spatial appendix comprising such a system,Thales
8251315,Formation flight device intended for a solar coronagraphy mission,Thales
8282045,Craft and method of coupling a propulsion system to a regenerative fuel cell system,Thales
8292233,Solar protection device for space instrument,Thales
8322659,Method for lightening the weight of fuel stowed onboard during an interplanetary mission,Thales
8351179,Solar generator with concentrator of primary electric arcs,Thales
8040021,"Device for the active damping of the vibrations experienced by a fragile part of moving equipment, with autonomous power supply",Thales
8096511,"System for controlling the deployment of spacecraft required to fly in formation, by simultaneous and high-precision determination of their positions",Thales
8150567,"Device for control of relative position(s) by measurements of power, for a spacecraft of a group of spacecraft in formation",Thales
8151414,Self-driven articulation for an articulated assembly such as a satellite solar panel,Thales
8186121,Support device for elements on a piece of space equipment with flexible deploying arms,Thales
8550407,Large rigid deployable structures and method of deploying and locking such structures,Thales
8511615,Deployable structure forming an antenna equipped with a solar generator for a satellite,Thales
8496209,Device for deploying and aiming structural elements in a space environment,Thales
8468902,"Reusable device for holding at least one moving object securely autonomously and without shocks, for spacecraft",Thales
8378542,Magnetic centre-finding device with no magnet on the rotor and with small air gap,Thales
8463467,"Device for controlling relative position(s) by analyzing dual-frequency signals, for a spacecraft of a group of spacecraft in formation",Thales
8450596,Solar generator panel and an associated satellite,Thales
8451166,Distributed distance measurement system for locating a geostationary satellite,Thales
8672272,Coating for prevention of electrostatic discharge within an equipment in a spatial environment,Thales
8608113,Method for capturing a container of planet-ground samples traveling in open space,Thales
8616271,Thermal control device on board a spacecraft,Thales
8583297,Method and device for optimization of the mass of a satellite,Thales
7513461,Articulated assembly of solar generator panels and space vehicle,Thales
7514823,Spacecraft regulation unit with decentralized bus capacitance,Thales
7561262,Lateral and longitudinal metrology system,Thales
7624949,Satellite provided with means for countering solar pressure,Thales
7464902,Satellite with electromagnetic control of objects,Thales
7410129,Stacking tie-rod release device for a deployable structure,Thales
7368656,"Solar cell for a solar generator panel, a solar generator panel, and a space vehicle",Thales
7321095,Solar generator panel and a spacecraft including it,Thales
7745768,Absolute target system enhanced by combining a star sensor and a formation flight optical metrological sensor,Thales
7850124,Long-service-life rotary positioning device for space applications,Thales
7880081,Limited discharge current propagation solar generator,Thales
7856735,Measuring tape with thermal deployment and deployable structure comprising said measuring tape,Thales
7866109,Structural device for improving the thermal expansion resistance of a structure,Thales
7911100,Dual-stage centering magnetic bearing,Thales
7988098,Actuator for systems for guiding space equipment with a variable rate of rotation,Thales
5563794,Repetitive control of thermal shock disturbance,Hughes Aircraft Company
5566909,System and method for deploying multiple probes,Hughes Aircraft Company
5595360,Optimal transfer orbit trajectory using electric propulsion,Hughes Aircraft Company
5597141,Efficient mass translation device,Hughes Aircraft Company
5610848,Robust resonance reduction using staggered posicast filters,Hughes Aircraft Company
5614033,Rigid solar panel with discrete lattice and carrier structures bonded together,Hughes Aircraft Company
5628831,Method for cleaning contaminants from a body in space using a space charge neutral plasma,Hughes Aircraft Company
5667171,Satellite spin axis stabilization using a single degree of freedom transverse momentum storage device,Hughes Aircraft Company
5692707,Universal spacecraft attitude steering control system,Hughes Aircraft Company
5696429,Method for charge neutralization of surface in space with space-charge neutral plasma,Hughes Aircraft Company
5716030,Aperture door and calibration source for spacecraft remote sensing devices,Hughes Aircraft Company
5749402,Integrated storage and transfer system and method for spacecraft propulsion systems,Hughes Aircraft Company
5770269,Thermal control coating,Hughes Aircraft Company
5437420,High torque double gimbal control moment gyro,Hughes Aircraft Company
5441222,Attitude control of spinning spacecraft,Hughes Aircraft Company
5443231,Method and apparatus for a satellite station keeping,Hughes Aircraft Company
5411227,Satellite thruster uncertainty estimation in transition mode,Hughes Aircraft Company
5418431,RF plasma source and antenna therefor,Hughes Aircraft Company
5412574,Method of attitude determination using earth and star sensors,Hughes Aircraft Company
5413293,Magnetic torque attitude control systems,Hughes Aircraft Company
5394075,Spacecraft bus regulation using solar panel position,Hughes Aircraft Company
5383359,Determining liquid fill fraction on a spacecraft,Hughes Aircraft Company
5400987,Variable angle latching mechanism for spacecraft,Hughes Aircraft Company
5479959,Integrated storage and transfer system and method for spacecraft propulsion systems,Hughes Aircraft Company
5488282,System and method for reconditioning spacecraft battery,Hughes Aircraft Company
5499656,Integrated storage and transfer system and method for spacecraft propulsion systems,Hughes Aircraft Company
5452869,On-board three-axes attitude determination and control system,Hughes Aircraft Company
5514936,RF plasma source and method for plasma cleaning of surface in space,Hughes Aircraft Company
5517418,Spacecraft disturbance compensation using feedforward control,Hughes Aircraft Company
5540405,Method and apparatus for compensating for magnetic disturbance torques on a satellite,Hughes Aircraft Company
5284309,Propellant immobilizing system and method,Hughes Aircraft Company
5261631,Momentum wheel platform steering system and method,Hughes Aircraft Company
5253944,Precision alignment and mounting apparatus,Hughes Aircraft Company
5255879,Three axes stabilized spacecraft and method of sun acquisition,Hughes Aircraft Company
5257759,Method and apparatus for controlling a solar wing of a satellite using a sun sensor,Hughes Aircraft Company
5223702,Method and apparatus for rotational rate determination using a stellar reference,Hughes Aircraft Company
5227943,Power fault protection for high momentum systems,Hughes Aircraft Company
5311435,Method for station keeping control of flexible spacecraft using onboard gain scheduling scheme,Hughes Aircraft Company
5318255,Stage separation mechanism for space vehicles,Hughes Aircraft Company
5310143,Three axis thruster modulation,Hughes Aircraft Company
5310144,Method and apparatus for satellite torque balancing,Hughes Aircraft Company
5308025,Spacecraft spin axis capture system and method,Hughes Aircraft Company
5348255,System and method for sensing attitude of a spacecraft with equilized star tracker errors along three orthogonal axes,Hughes Aircraft Company
5337981,Method and apparatus for compensating for solar torque transients on a satellite during a solar eclipse,Hughes Aircraft Company
5064574,Method and composition for providing electrostatic discharge protection for spacecraft,Hughes Aircraft Company
5067673,Essentially passive method for inverting the orientation of a dual spin spacecraft,Hughes Aircraft Company
5098041,Attitude control system for momentum-biased spacecraft,Hughes Aircraft Company
5080307,Spacecraft earth-pointing attitude acquisition method,Hughes Aircraft Company
5122067,Umbilical release mechanism,Hughes Aircraft Company
5184790,Two-axis attitude correction for orbit inclination,Hughes Aircraft Company
5163640,Active spin axis control for spinning space vehicles,Hughes Aircraft Company
5134274,Two-sided solid-state imaging device,Hughes Aircraft Company
4506852,Payload deployment from launch vehicle using canted springs for imparting angular and linear velocities,Hughes Aircraft Company
4534998,Conductive coating process,Hughes Aircraft Company
4600169,Integrated spacecraft cradle and shuttle structure,Hughes Aircraft Company
4623951,Electrically conductive composite structure,Hughes Aircraft Company
4632339,Spacecraft payload ejection mechanism,Hughes Aircraft Company
4711417,Apparatus for ejection of a spacecraft,Hughes Aircraft Company
4705646,Conductive coating,Hughes Aircraft Company
4715565,Clamping connection assembly for spacecraft,Hughes Aircraft Company
4722183,Method for controlling the utilization of fluid bipropellant in a spacecraft rocket engine,Hughes Aircraft Company
4699339,Apparatus and method for transporting a spacecraft and a fluid propellant from the earth to a substantially low gravity environment above the earth,Hughes Aircraft Company
4679752,Payload depolyment from shuttle employing an ejection restraint device,Hughes Aircraft Company
3952324,Solar panel mounted blocking diode,Hughes Aircraft Company
3937423,Nutation and roll error angle correction means,Hughes Aircraft Company
3973745,Solar cell arrangement for a spin stabilized vehicle,Hughes Aircraft Company
3996804,Method for remotely determining the dynamic imbalance of and for changing the spin rate and center of gravity of a spinning body,Hughes Aircraft Company
4096427,Nutation damping in dual-spin stabilized devices,Hughes Aircraft Company
4213586,Spin activated safety circuit for spacecraft,Hughes Aircraft Company
4272257,Liquid-vapor separator,Hughes Aircraft Company
4290570,Three point attachment for an ejectable spacecraft,Hughes Aircraft Company
4300737,Satellite deployment system with remotely controlled relocking capability,Hughes Aircraft Company
4303214,Apparatus for gyroscopic ejection of shuttle launched spacecraft,Hughes Aircraft Company
4324374,Integrated spacecraft and cradle structure,Hughes Aircraft Company
4326684,Spacecraft with internal propulsion stages,Hughes Aircraft Company
4345728,Method for controlling the attitude of a spinning spacecraft in the presence of solar pressure,Hughes Aircraft Company
4359201,Payload deployment from shuttle with linear and angular velocity,Hughes Aircraft Company
4467985,Vortex inhibiting closed spherical outlet structure,Hughes Aircraft Company
4470568,Method for changing the spin rate of a spinning body,Hughes Aircraft Company
4757964,Method for controlling the attitude of a spinning body in orbit,Hughes Aircraft Company
4752884,Precision platform pointing controller for a dual-spin spacecraft,Hughes Aircraft Company
4753506,Off axis optical communication system,Hughes Aircraft Company
4753683,Gallium arsenide solar cell system,Hughes Aircraft Company
4741502,Method and apparatus for launching a spacecraft by use of a recoverable upper rocket stage,Hughes Aircraft Company
4837699,Method for controlling the spin axis attitude of a spinning spacecraft,Hughes Aircraft Company
4842106,Rate controllable damping mechanism,Hughes Aircraft Company
4844380,Detachable thrust vector mechanism for an aeronautical vehicle,Hughes Aircraft Company
4846425,Method and apparatus for atomic beam irradiation,Hughes Aircraft Company
4824052,Nutation sensor and nutation control system for a dual-spin stabilized satellite,Hughes Aircraft Company
4825646,Spacecraft with modulated thrust electrostatic ion thruster and associated method,Hughes Aircraft Company
4861445,Barrier for molecular contaminates,Hughes Aircraft Company
4849028,Solar cell with integrated interconnect device and process for fabrication thereof,Hughes Aircraft Company
4854526,Spacecraft design enabling the compact nesting of multiple spacecraft in the launch vehicle,Hughes Aircraft Company
4854975,Solar cell with integrated interconnect device and process for fabrication thereof,Hughes Aircraft Company
4880185,Low pressure reaction control propulsion system for a spacecraft,Hughes Aircraft Company
4883244,Satellite attitude determination and control system with agile beam sensing,Hughes Aircraft Company
4961551,Stabilization of a spinning spacecraft of arbitary shape,Hughes Aircraft Company
4949922,Satellite control system,Hughes Aircraft Company
4910050,Method and composition for providing electrostatic discharge protection for spacecraft,Hughes Aircraft Company
5052640,Spacecraft design enabling the flat packing of multiple spacecraft in the launch vehicle,Hughes Aircraft Company
5012992,Spin stabilization via momentum wheels or similar devices,Hughes Aircraft Company
5020746,Method for satellite station keeping,Hughes Aircraft Company
5546651,Apparatus for encapsulating space launch payloads,Lockheed Martin Corporation
5695306,Fusible member connection apparatus and method,Lockheed Martin Corporation
5718531,Low shock release device,Lockheed Martin Corporation
5720452,Solar panel parallel mounting configuration,Lockheed Martin Corporation
5730211,Apparatus and method for operating a heat pipe panel assembly,Lockheed Martin Corporation
5750915,Launch mount pedestal and umbilical mast,Lockheed Martin Corporation
5743492,Payload housing and assembly joint for a launch vehicle,Lockheed Martin Corporation
6453937,Hot gas valve construction for reducing thermal shock effects,Lockheed Martin Corporation
6450452,Fly back booster,Lockheed Martin Corporation
6444271,Durable refractory ceramic coating,Lockheed Martin Corporation
6422514,Common bulkhead cryogenic propellant tank,Lockheed Martin Corporation
6467731,Integrated sample return capsule,Lockheed Martin Corporation
6457306,Electrical drive system for rocket engine propellant pumps,Lockheed Martin Corporation
6454215,Spacecraft architecture for disturbance-free payload,Lockheed Martin Corporation
6481672,Gimbaled thruster control system,Lockheed Martin Corporation
6471161,Satellite attitude control system,Lockheed Martin Corporation
6536090,Method for making a cryogenic tank joint,Lockheed Martin Corporation
6530213,Method and apparatus for ignition detection,Lockheed Martin Corporation
6530718,Connector assembly,Lockheed Martin Corporation
6554228,Aerodynamic fairing,Lockheed Martin Corporation
6547476,Universal spacecraft separation node,Lockheed Martin Corporation
6543724,Miniature satellite design,Lockheed Martin Corporation
6499696,Rocket engine with reduced thrust and stagable venting system,Lockheed Martin Corporation
6494405,PEAR composites for oxygen systems,Lockheed Martin Corporation
6491258,Space elevator,Lockheed Martin Corporation
6491259,Halogenated composites for oxygen systems,Lockheed Martin Corporation
6585193,Spacecraft with integrated pulsed-plasma thrusters,Lockheed Martin Corporation
6592981,Oxidation resistant insulating sandwich tiles,Lockheed Martin Corporation
6558785,Insulated reentry heat shield,Lockheed Martin Corporation
6568638,Modular spacecraft structure,Lockheed Martin Corporation
6631314,Propellant utilization system,Lockheed Martin Corporation
6626603,Screw mounting installation and apparatus,Lockheed Martin Corporation
6620519,System and method for inhibiting corrosion of metal containers and components,Lockheed Martin Corporation
6629672,Sun sensor alignment compensation system,Lockheed Martin Corporation
6622971,Adapter for connecting rocket stages,Lockheed Martin Corporation
6600976,Gyroless control system for zero-momentum three-axis stabilized spacecraft,Lockheed Martin Corporation
6616092,Reusable flyback rocket booster and method for recovering same,Lockheed Martin Corporation
6616104,Spacecraft configuration and attitude steering method for highly inclined orbit (HIO) communications,Lockheed Martin Corporation
6568640,Inflatable satellite design,Lockheed Martin Corporation
6732977,System for on-orbit correction of spacecraft payload pointing errors,Lockheed Martin Corporation
6718610,Automated fuel tank assembly system & method,Lockheed Martin Corporation
6702234,Fault tolerant attitude control system for zero momentum spacecraft,Lockheed Martin Corporation
6695263,System for geosynchronous spacecraft rapid earth reacquisition,Lockheed Martin Corporation
6695256,Cryogenic propellant depletion system for a launch vehicle,Lockheed Martin Corporation
6637701,Gimbaled ion thruster arrangement for high efficiency stationkeeping,Lockheed Martin Corporation
6637702,Nested beam deployable solar array,Lockheed Martin Corporation
6668441,Screw mounting installation method,Lockheed Martin Corporation
6650212,Electromagnetic latch,Lockheed Martin Corporation
6658863,Airborne gas storage and supply system,Lockheed Martin Corporation
7198232,Optimal speed management for reaction wheel control system and method,Lockheed Martin Corporation
7150340,Hub drive and method of using same,Lockheed Martin Corporation
7252890,Anti-contamination coated multi-layer insulation,Lockheed Martin Corporation
7267303,"Method and system for providing cruciform steered, bent biconic and plasma suppression for maximum accuracy",Lockheed Martin Corporation
7246775,System and method of substantially autonomous geosynchronous time-optimal orbit transfer,Lockheed Martin Corporation
7237752,System and method for reducing plasma induced communication disruption utilizing electrophilic injectant and sharp reentry vehicle nose shaping,Lockheed Martin Corporation
7278612,Swaged cable deployment in space,Lockheed Martin Corporation
7270302,Scalable thermal control system for spacecraft mounted instrumentation,Lockheed Martin Corporation
7275285,Deployment hinge,Lockheed Martin Corporation
7104506,Spacecraft disturbance trimming system,Lockheed Martin Corporation
7051980,Efficient orbit sparing system for space vehicle constellations,Lockheed Martin Corporation
6923249,Passive thermal control system,Lockheed Martin Corporation
6866232,Automated docking of space vehicle,Lockheed Martin Corporation
6857602,Environmental control system and method of using the same,Lockheed Martin Corporation
6868316,Satellite constellation system,Lockheed Martin Corporation
6851651,"Constellation of spacecraft, and broadcasting method using said constellation",Lockheed Martin Corporation
6896441,Automated latching device with active damping,Lockheed Martin Corporation
6883757,System and method for increasing the roll offset operating range for a spacecraft,Lockheed Martin Corporation
6908064,High-efficiency REA optimized stationkeeping,Lockheed Martin Corporation
6749942,Durable refractory ceramic coating,Lockheed Martin Corporation
6769830,Connector assembly,Lockheed Martin Corporation
6776258,Acoustic blanket system,Lockheed Martin Corporation
6837464,Lox-compatible composite tank for aerospace applications,Lockheed Martin Corporation
6845303,Micro-satellite and satellite formation for inverse and distributed proximity operations,Lockheed Martin Corporation
6845950,System for high efficiency spacecraft orbit transfer,Lockheed Martin Corporation
6823918,Integrally reinforced composite sandwich joint and process for making the same,Lockheed Martin Corporation
6076770,Folding truss,Lockheed Martin Corporation
6062527,Flexurally hinged tripod support boom,Lockheed Martin Corporation
6050525,Asymmetric open rosette constellations,Lockheed Martin Corporation
6061243,Modular and multifunctional structure,Lockheed Martin Corporation
6107770,Control system for counter-oscillating masses,Lockheed Martin Corporation
6113035,Attitude control by modulating the rate of propellant depletion,Lockheed Martin Corporation
6116368,Electric vehicle with battery regeneration dependent on battery charge state,Lockheed Martin Corporation
6098926,Composite fairing with integral damping and internal helmholz resonators,Lockheed Martin Corporation
6014987,Anti-vortex baffle assembly with filter for a tank,Lockheed Martin Corporation
6026337,Microbolometer earth sensor assembly,Lockheed Martin Corporation
6036144,Mass producible launch system,Lockheed Martin Corporation
6038736,Hinge for deployable truss,Lockheed Martin Corporation
5983802,Separation system,Lockheed Martin Corporation
5992328,Separation system,Lockheed Martin Corporation
5984237,Delta-V targeting system for three-axis controlled spacecraft,Lockheed Martin Corporation
5969287,Separation system,Lockheed Martin Corporation
5852792,Spacecraft boresight calibration filter,Lockheed Martin Corporation
5850617,System and method for route planning under multiple constraints,Lockheed Martin Corporation
5850989,Method and system for rapidly assembling a launch vehicle,Lockheed Martin Corporation
5845875,Modular launch pad system,Lockheed Martin Corporation
5799904,Temperature control for spacecraft inertial control unit,Lockheed Martin Corporation
5816539,Orbital assist module and interstage,Lockheed Martin Corporation
5806804,Adaptive harmonic disturbance compensation system,Lockheed Martin Corporation
5808732,System for referencing a direction of an output beam,Lockheed Martin Corporation
5870063,Spacecraft with modular communication payload,Lockheed Martin Corporation
5941328,Electric vehicle with variable efficiency regenerative braking depending upon battery charge state,Lockheed Martin Corporation
5935176,Momentum wheel oscillation filter,Lockheed Martin Corporation
5950965,Split shell spacecraft,Lockheed Martin Corporation
5927654,Spacecraft with active antenna array protected against temperature extremes,Lockheed Martin Corporation
5929595,Hybrid electric vehicle with traction motor drive allocated between battery and auxiliary source depending upon battery charge state,Lockheed Martin Corporation
5924648,System for upending/reclining launch vehicles,Lockheed Martin Corporation
5910722,Hybrid electric vehicle with reduced auxiliary power to batteries during regenerative braking,Lockheed Martin Corporation
5911389,Wave based satellite constellation,Lockheed Martin Corporation
6131395,Propellant densification apparatus and method,Lockheed Martin Corporation
6135391,Retention system for a detachable spacecraft capsule mounted on a spacecraft,Lockheed Martin Corporation
6123295,Fuel tank for lifting body re-entry vehicle,Lockheed Martin Corporation
6126115,Apparatus for retaining and releasing a payload,Lockheed Martin Corporation
6126371,Shape memory metal alloy preload attenuation device,Lockheed Martin Corporation
6158088,Deployable hinge assembly providing end of travel damping,Lockheed Martin Corporation
6188874,Control and telemetry signal communication system for geostationary satellites,Lockheed Martin Corporation
6212752,Automated fuel tank assembly system & method,Lockheed Martin Corporation
6203237,Apparatus for releasably connecting first and second structures together,Lockheed Martin Corporation
6206327,Modular spacecraft bus,Lockheed Martin Corporation
6230790,Thermal control system for spacecraft,Lockheed Martin Corporation
6227494,Deployable spacecraft lander leg system and method,Lockheed Martin Corporation
6360995,Docking system & method for space travel vehicle,Lockheed Martin Corporation
6394395,Combination solar array assembly and antenna for a satellite,Lockheed Martin Corporation
6375125,Hybrid composites for oxygen propulsion systems,Lockheed Martin Corporation
6341762,Service valve and use of same in reaction control system,Lockheed Martin Corporation
