abstract,title,year
"Apparatus for providing accurate pointing of instruments on a carrier vehicle and for providing isolation of the instruments from the vehicle's motion disturbances. The apparatus includes two assemblies, with connecting interfaces, each assembly having a separate function. The first assembly is attached to the carrier vehicle and consists of an azimuth gimbal and an elevation gimbal which provide coarse pointing of the instruments by allowing two rotations of the instruments relative to the carrier vehicle. The second or vernier pointing assembly is made up of magnetic suspension and fine pointing actuators, roll motor segments, and an instrument mounting plate around which a continuous annular rim is attached which provides appropriate magnetic circuits for the actuators and the roll motor segments. The vernier pointing assembly is attached to the elevation gimbal and provides vernier attitude fine pointing and roll positioning of the instruments as well as six degree-of-freedom isolation from carrier motion disturbances.",Magnetic suspension and pointing system,1978
"Pressure suit mobility joints for use in interconnecting adjacent segments of an hermetically sealed spacesuit in which low torques, low leakage and a high degree of reliability are required. Each of the joints is a special-purpose joint characterized by substantially constant volume and low torque characteristics and includes linkages which restrain the joint from longitudinal distension and includes a flexible, substantially impermeable diaphragm of tubular configuration spanning the distance between pivotally supported annuli. The diaphragms of selected joints include rolling convolutions for balancing the joints, while various joints include wedge-shaped sections which enhance the range of motion for the joints.",Spacesuit mobility joints,1978
""" A separable entry closure assembly for joining axially separable tubular segments of a pressure suit along an angulated zone of separation having a first portion projected transversely beneath the axilla zone of the suit and a second portion projected behind the shoulder zone thereof and characterized by a first endless member of a rigid configuration affixed to one segment of the suit, a second endless member of a rigid configuration affixed to the other segment and mated in hermetically sealed relation with the first endless member, and a releasable """"C"""" section clamp releasably securing the first endless member to the second endless member. """,Spacesuit torso closure,1978
"An improved cooling and ventilating system for removing metabolic heat, waste gases and water vapor generated by a wearer of an hermetically sealed spacesuit. The cooling system is characterized by a body suit having a first circuit for simultaneously establishing a cooling flow of water through the thorax and head sections of the body suit including circulation patches mounted in the thorax section and head section of the body suit, a second circuit for discharging a flow of gas throughout the spacesuit and a disconnect unit for coupling the circuits with a life support system externally related to the spacesuit.",Cooling system for removing metabolic heat from an hermetically sealed spacesuit,1978
"A coating characterized by low thermal absorption, high thermal emittance and high electrical conductivity comprises: PA1 (a) a fired oxide pigment comprising a minor amount of aluminum oxide and a major amount of zinc oxide; PA1 (b) a vehicle-binder comprising an alkali metal silicate; and PA1 (c) sufficient water to provide a mixture suitable for application to a substrate. The fired oxide pigment may further include a minor amount of cobalt oxide. The resulting coating is particularly useful for coating the surfaces of spacecraft and similar objects.",Electrically conductive thermal control coatings,1978
An apparatus for producing a structure in outer space from rolls of prepunched ribbon or sheet material that are transported from the earth to the apparatus located in outer space. The apparatus spins the space structure similar to a spider spinning a web utilizing the prepunched ribbon material. The prepunched ribbon material is fed through the apparatus and is shaped into a predetermined channel-shaped configuration. Trusses are punched out of the ribbon and are bent downwardly and attached to a track which normally is a previously laid sheet of material. The size of the overall space structure may be increased by merely attaching an additional roll of sheet material to the apparatus.,Apparatus for assembling space structure,1978
An improved isolation system is provided for attaching ceramic tiles of insulating material to the surface of a structure sought to be protected against extreme temperatures of the nature expected to be encountered by the space shuttle orbiter. This system isolates the fragile ceramic tiles from thermally and mechanically induced vehicle structural strains. The insulating tiles are affixed to a felt isolation pad formed of closely arranged and randomly oriented fibers by means of a flexible adhesive and in turn the felt pad is affixed to the metallic vehicle structure by an additional layer of flexible adhesive.,Thermal insulation attaching means,1978
"Pressure suit mobility joints for use in interconnecting adjacent segments of an hermetically sealed spacesuit in which low torques, low leakage and a high degree of reliability are required. Each of the joints is a special-purpose joint characterized by substantially constant volume and low torque characteristics and includes linkages which restrain the joint from longitudinal distension and includes a flexible, substantially impermeable diaphragm of tubular configuration spanning the distance between pivotally supported annuli. The diaphragms of selected joints include rolling convolutions for balancing the joints, while various joints include wedge-shaped sections which enhance the range of motion for the joints.",Spacesuit mobility knee joints,1979
A system for providing thermal insulation for portions of a spacecraft which do not exceed 900.degree. F. (756.degree. K.) during ascent or reentry relative to the earth's atmosphere. The thermal insulation is formed of relatively large flexible sheets of needled Nomex felt having a flexible waterproof coating. The thickness of the felt is sized to protect against projected temperatures and is attached to the structure by a resin adhesive. Vent holes in the sheets allow ventilation while maintaining waterproofing. The system is heat treated to provide thermal stability.,Thermal insulation protection means,1979
"A compact, easily fabricated mechanism which provides a latching and unlatching function in a small volume and through a restricted access. The mechanism offers a positive detent for the latch position, and a forced movement to the unlatched position. It is operable by access through a single hole by use of a simple hexagonal stock tool. For remote actuation the mechanism provides a reliable one-time-only unlatching motion.",Rotating detent latch mechanism,1979
"Apparatus for providing accurate pointing of instruments on a carrier vehicle and for providing isolation of the instruments from the vehicle's motion disturbances. The apparatus includes two assemblies, with connecting interfaces, each assembly having a separate function. The first assembly is attached to the carrier vehicle and consists of an azimuth gimbal and an elevation gimbal which provide coarse pointing of the instruments by allowing two rotations of the instruments relative to the carrier vehicle. The second or vernier pointing assembly is made up of magnetic suspension and fine pointing actuators, roll motor segments, and an instrument mounting plate around which a continuous annular rim is attached which provides appropriate magnetic circuits for the actuators and the roll motor segments. The vernier pointing assembly is attached to the elevation gimbal and provides vernier attitude fine pointing and roll positioning of the instruments as well as six degree-of-freedom isolation from carrier motion disturbances.",Magnetic suspension and pointing system,1979
"Apparatus for use in determining the orientation of a spinning spacecraft d for controlling the attitude motion thereof. In response to commands from an external processor, the apparatus enables a selected thruster at a commanded time delay after a solar-or earth-sensor reference pulse and fires the thruster a commanded number of times. The time difference between various sensor inputs is measured to determine spin rate and other data which is used by the external processor in calculating the firing sequence of the thrusters.",Spin rate timing system,1979
"A heat dissipating instrument package of a spacecraft, located in a canister having walls in heat transfer relationship with the package, is maintained at a substantially constant temperature. Fixed conductance heat pipes on the canister walls are connected to variable conductance heat pipes, mounted on a radiator structure separated from the canister walls by a thermal blanket. The effective radiating area of the radiator structure is controlled by the variable conductance heat pipes in response to a comparison of a sensed temperature of the instrument package or the canister wall with a seat point value. The comparison controls a heater in a gas reservoir containing a non-condensable gas of the variable conductance heat pipe. To enable the set point to be varied over a relatively wide range, such a 0.degree.-30.degree. C., a thermal radiation shield for the gas reservoir prevents radiant energy from the exterior environment and thermal energy reflected from the spacecraft from overheating the non-condensable gas. In one embodiment, variable conductance heat pipe headers are provided between the canister and radiators, with isothermalizer feeder pipes on the radiators and canister walls; in further embodiments, variable conductance heat pipe feeder pipes are coupled directly between the canister walls and one or more radiators.",Thermal control canister,1979
"A stowable and inflatable vehicle, adapted for use as a decoy space vehicle and as a replica of a relatively hot parent space vehicle. In addition to other components, the inventive decoy and replica vehicle includes: a telescoping central tubular member that provides a rigid support and means for telescoping which aids in stowing the replica inventive vehicle; an inflatable structure which forms an external shape; and, a heater blanket in the outer layers of the structure to simulate the surface temperature of the parent vehicle. As a matter of preference, and in this adaptation, the inventive replica space vehicle is of a conical external configuration. The capability of this inventive vehicle to be inflated to the desired external shape, rather than to assume the external shape by use of solely mechanical expanding means, provides superior structural integrity, and also permits a significant reduction in external dimensions and easy storage, even where stiff materials (which are difficult to fold and to unfold) must be, or preferably are, used.",Stowable and inflatable vehicle,1979
"Stowable and inflatable apparatus for enshrouding a vehicle. The apparatus, in its most generic and most basic embodiment, includes an inflatable framework external of which is attached a multilayer superinsulating blanket shroud. The inflatable tubular framework includes a plurality of inflatable tubular-shaped longitudinal members in spaced-apart relationship, and a plurality of inflatable toroidal-shaped members also in spaced-apart relationship. Each of the toroidal-shaped members is positioned essentially perpendicular to, and in contact with, each of the tubular-shaped longitudinal members. The inventive apparatus solves the problems which are inherent in enclosing a large, relatively hot space vehicle to retain the heat therefrom, and in folding (and stowing) and in unfolding an apparatus in a space environment.",Vehicle enshrouding apparatus,1979
"The invention relates generally to an improved system for sensing and compensating for external disturbance forces acting on a satellite while in orbit. A proof mass member is housed within an enclosure and shielded from external, non-gravitational forces. The proof mass is electromagnetically levitated to move in a purely gravitational orbit, along an axis aligned with the satellite's velocity vector. The proof mass is subjected to a controlled magnetic biasing field and is caused to have a constant reaction to the resultant biasing force, by means of a thermal control system which maintains constant resistivity of the proof mass, during operation. The position of the proof mass with respect to its axis is detected optically and is utilized to control the firing of spacecraft thrusters. As a result, the satellite is caused to maintain a substantially constant position relative to the proof mass and thereby also is caused to follow a purely gravitational orbit.",Single-axis disturbance compensation system,1979
"Slip cast, fused silica shields such as radomes and antenna windows with ir pores filled with graded-Z radiation absorbing particles, give protection against radiation damage, improve the ablation characteristics and do not impair the microwave properties of the shielding.",Multipurpose protection system,1979
"A mechanical system is disclosed to capture and/or deploy a device or vehicle having relative motion with respect to another vehicle. The mechanism includes an on-board controlled collapsible iris assembly located at the end of a controlled manipulator system carried by one moving vehicle. The iris assembly by means of the manipulator system encircles a probe located on the other moving vehicle whereupon the iris assembly is activated and one or more iris elements close around the probe, thus capturing and axially aligning the other vehicle with the iris assembly. Additionally, a rotator assembly is included for spinning the iris assembly in a manner adapted to engage the probe of a spinning vehicle. Deployment of the other vehicle is accomplished by reversing the capture procedure.",Coupling device for moving vehicles,1979
Boundary layer transition is delayed on a re-entry vehicle by making use of the differential pressure that normally exists between the surface of a re-entry vehicle and the base region of the vehicle. Choked flow orifices are provided on the surface of the vehicle at the input to the internal ducting leading to the base region of the vehicle.,Re-entry vehicle boundary layer transition suppressor,1980
"An apparatus for controlling nutation motion in a spinning body, comprising an angular accelerometer having its input axis perpendicular to the spin axis of the body, a flywheel having an axis of rotation perpendicular to the axis of the accelerometer and to the spin axis of the body, and a motor for driving the flywheel to attenuate or build nutation. The motor is controlled by circuitry that monitors the output of the angular accelerometer and drives the motor clockwise or counterclockwise during predetermined nutation angles synchronized to the zero crossover points of the accelerometer signal and centered about the nutation peaks. In one embodiment, the motor drive is phased to damp nutation motion to zero for stabilization. To increase the noise immunity of the system, when the output of the accelerometer falls below a threshold level, the circuitry operates in an open loop, beat mode wherein data representing the last accelerometer signal that exceeded that threshold level is stored, and the motor drive is controlled by the stored data. In a second embodiment, the motor is controlled to supply a predetermined amount of nutation motion to a body undergoing testing on a spin table for energy dissipation evaluation. In each embodiment, the use of an angular accelerometer rather than a linear accelerometer or gyro to monitor nutation enables placement of the nutation control apparatus at any location relative to the spin axis of the body requiring only crude orientation and no calibration.",Active nutation controller,1980
"A fine textured, high density, three directional, carbon-carbon fiber composite material with an axially to laterally oriented fiber ratio of 1.5 to 1 or higher and a density of 185 g/cm.sup.3 or higher.",Carbon/carbon composite for re-entry vehicle applications,1980
"A device is disclosed, carried by a first vehicle such as an orbiting space shuttle, having a plurality of contact members for engaging and holding an annular ring on a second vehicle such as an orbiting payload. The contact members are connected to manipulator arms which are mounted at a fulcrum point and which are moved by an iris-type mechanism. Movement of the manipulator arms causes the contact members to grasp or release the annular ring. Bumper devices are provided to axially align the annular ring and draw the contact members into engagement therewith.",Device for coupling a first vehicle to a second vehicle,1980
A base vent assembly for entry space vehicles having an access cover utilized in conjunction with a plurality of spaces and deflector member so as to establish a labyrinth vent adjacent the access opening of the entry vehicle. The labyrinth vent is created by carefully forming a passageway between the edge of the access opening and the access cover using spacers and carefully shaping of the innerface therebetween. Consequently a decrease in weight over a non-vented structure is created.,Base vent assembly for entry space vehicles,1980
"Disclosed are a structural member, such as a truss, and a method and apparatus for fabricating the same from flexible sheet material in compacted form. A plurality of generally tubular columns are progressively formed from the sheet material and deployed generally parallel to one another. Adjacent pairs of the columns are interconnected by respective side members, each of which is comprised of a strip of the sheet material. The sheet material is fastened together by self-attaching fasteners integrally formed from the sheet material of the columns and side members themselves.","Structural members, method and apparatus",1980
"A method wherein a propeller driven, hydrazine powered aircraft is remotely piloted through rarefied atmosphere of a selected planet, including the planet Earth, and employed as a communication platform for a telemetry system provided for relaying information relating to features characterizing the surface of the planet.",Method for observing the features characterizing the surface of a land mass,1980
Lightweight half-lengths of columns for truss structures that are adapted for nestable storage and transport to facilitate fabrication of large area truss structures at a remote site and particularly adaptable for space applications.,Lightweight structural columns,1981
"An orbit vehicle launch system including reusable turbojet propelled booster vehicles releasably connected to a reusable rocket powered orbit vehicle. The coupled orbiter-booster combination takes off horizontally and ascends to staging altitude and speed under booster power with both orbiter and booster wings providing lift. After staging, the booster vehicles fly back to earth for horizontal landing and the orbiter vehicle continues ascending to orbit.",Orbiter/launch system,1981
The invention relates to an end effector device for a robot or teleoperated type space vehicle which includes an inflatable balloon member carried on the end of a tubular member which has a hollow center or conduit through which a suitable pressurized fluid is supplied. The device may be inserted into a variety of shaped openings or truss-type structures for handling in space.,Pneumatic inflatable end effector,1981
"A lightweight solar cell array for space vehicles powered by solar electric propulsion. The array incorporates a plurality of hinged solar cell units which can be folded for stowage and thereafter extended into a planar configuration. Light is directed onto the solar cell array by a flexible reflector assembly which is carried below the array. The reflector assembly preferably comprises sheets of flexible material stowed on rolls whereby the sheets can be pulled from the rolls into extended positions. The solar cell array and the reflector are carried between two frames, one of which can be moved away from the other to deploy the array and the reflector assembly.",Underwing reflector solar array,1981
"A structure particularly suited for use in aerospace industries comprising a base plate, a cover plate, and an orthogonally corrugated core including a pair of core plates formed of a superplastic alloy interposed between the base plate and the cover plate, in sandwiched relation therewith and bonded thereto, each of the core plates being characterized by a plurality of protrusions comprising square-based, truncated pyramids uniformly aligned along orthogonally related axes perpendicularly bisecting the legs of the bases of the pyramids and alternately inverted along orthogonally related planes diagonally bisecting the pyramids, whereby an orthogonally corrugated core is provided.",Superplastically formed diffusion bonded metallic structure,1981
"A method of repairing damage to a porous refractory material coated with a glass coating (16) comprising applying hydrolyzed tetraethyl orthosilicate to the damaged area, curing said tetraethyl orthosilicate, applying to said damaged area a pliable filler (30) comprised of hydrolyzed tetraethyl orthosilicate and powdered refractory substrate (11) and heating the damaged area to cure filler (30).",Method of repairing surface damage to porous refractory substrates,1982
High temperature insulating articles are provided having improved performance characteristics. The articles comprise fabrics of closely woven refractory or heat resistant fibers having particles of silicon carbide dispersed at least partially through the fabric and bonded to the fibers with an emulsifiable polyethylene wax. Such articles exhibit significantly increased high temperature emittance characteristics and an improved retention of integrity and flexibility after prolonged exposure to high temperature.,High temperature silicon carbide impregnated insulating fabrics,1983
"A spacecraft associated deployable support structure which incorporates a ssive mechanism for extending an elongated arm, having a supporting surface, from a position adjacent to the spacecraft into a position extensive in relation to the spacecraft, whereby solar cells or instrumentation mounted on the supporting surface can be employed for their intended use.",Deployable support structure for spacecrafts,1983
A structural array and electrical rotary joint for transmitting an electrical power between large space structures having relative rotational movement therebetween is disclosed as including large support framework structures A and B which rotate relative to one another about a common axis of rotation X. A rotary interface joint 14 is defined between the structures A and B. A cylindrical hub member C is carried by the structure A and a cylindrical hub member is carried by support structure B with hub member C being received concentrically within hub member D for relative rotation. Tension connecting cables connect hub member C and hub member D with their associated outer structures A and B whereby relative rotational movement between structures A and B is transmitted to the cylindrical hub members for unitary motion therewith. Electrical conductor brush members 18 are carried by the hub D and electrical contact rings 16 are carried by the hub member C in sliding electrical contact with the brushes for transmission of electrical power during relative rotational movement between the support structures A and B.,Electrical rotary joint apparatus for large space structures,1983
Connector apparatus and assembly is disclosed for connecting beams and the like structural members which is particularly advantageous for connecting two members together when moved laterally into place since the connector apparatus requires no relative longitudinal movement between the ends of the beams or members being connected to make a connection joint. The connector apparatus includes a receptacle member A and a connector housing B carried by opposed ends of the structural member being connected wherein a spring-loaded connector member C is carried by the connector housing B which may be released for extension and engagement into the receptacle member A.,Beam connector apparatus and assembly,1983
"In a method of and apparatus for damping nutation of a spinning spacecraft (10), spin axis attitude disturbances are substantially reduced by controlling at least one nutation damping gas thruster (18) to fire with non-uniform gas pulses. During the beginning of a nutation control sequence, the duration of successive gas pulses is gradually increased (up pulsed) from zero to a predetermined maximum duration. The duration of successive pulses is then maintained constant for a time period. Finally, at the end of the nutation control sequence, the duration of successive gas pulses is gradually reduced to zero (down pulsed). Up pulsing of the gas thruster (18) is initiated in response to a predetermined maximum nutation angle measured by an accelerometer (20). Down pulsing of the thruster (18) is initiated in response to a predetermined minimum nutation angle. The number of variable and constant duration gas pulses delivered by the thruster (18) depends upon the mass distribution of the spacecraft (10).",Method of damping nutation motion with minimum spin axis attitude disturbance,1983
"A satellite retrieval system (10) wherein first and second pairs of coacting parallel bars (40), and (94) are separately mounted in spaced parallel planes on the front of a spacecraft (14). The bars of one pair are at right angles to bars of the other pair, and together the two pairs of bars effect a variable aperture adapted to close around a rod (26) extending from a second spacecraft (22) to thereby effect the capture of the latter.",Satellite retrieval system,1983
A technique for monitoring the ablation symmetry of a reentry vehicle by implanting a boundary layer trip material into the nose-tip surfaces of the re-entry vehicle's nose cone. The implantation material is characterized by a density that is usually greater and surface roughness that is greater than that which characterizes the material forming the main portion of the nose cone.,Implanted boundary layer trip,1983
"A three-sided prism shaped structure including upper and lower graphite/epoxy honeycomb sandwich decks spaced by rectangular graphite/epoxy longerons and braces, all of which are attached by using machined aluminum fittings. A graphite/epoxy sandwich panel and cone assembly is bonded to one side of the structure for mounting a space sextant therein. Aluminum equipment panels are attached to the other two sides. The bus structure is manufactured in accordance with available procedures for fabricating graphite/epoxy composite material which is the primary structural material.",Survivable satellite bus structural frame,1983
"A variable, thermal control system (10) for regulating the temperature of an exothermic process plant carried aboard an earth orbiting spacecraft is made with a plurality of curved radiator panels (14) arcuately positioned in a circular arrangement to form an open receptacle. A module (12) containing the process is insertable into the receptacle. Heat exchangers (42) having broad exterior surfaces (43) extending axially above the circumference of the module (12) fit within arcuate spacings (18) between adjacent radiator panels (14). Banks of variable conductance heat pipes (24) partially embedded within and thermally coupled to the radiator panels (14) extend across the arcuate spacings (18) and are thermally coupled to broad exterior surfaces (43) of the heat exchangers by flanges (26). Temperature sensors (86) monitor the temperature of process fluid flowing from the module through the heat exchanges. Thermal conduction between the heat exchangers (42) and the radiator panels is regulated by heating a control fluid within the heat pipes to vary the effective thermal length of the heat pipes (24) in inverse proportion to changes in the temperature of the process fluid.",Thermal control system,1983
"A method of installing fragile, light-weight, high-temperature fiber insulation, particularly where the insulation is to be used as a seal strip providing a high order of thermal barrier insulation. The process is based on provision of a strip of the mineral batting cut oversize by a predetermined amount, saturated in a fugitive polymer solution, compressed in a mold, dried and cured to form a rigidized batting material which may be machined to required shape. The machine dimensions would normally be at least nominally less than the dimensions of the cavity to be sealed. After insertion in the cavity, which may be a wire-mesh seal enclosure, the apparatus is subjected to baking at a temperature sufficiently high to cause the resin to burn off cleanly, leaving the batting substantially in its original condition and expanded into the cavity or seal enclosure.","Method and technique for installing light-weight, fragile, high-temperature fiber insulation",1983
"Apparatus is disclosed for releasably connecting first and second space objects, such as a spacecraft and a space vehicle, in predetermined spaced relationship. The apparatus comprises at least one probe member (10) mounted on the first object (1), having an elongated shank portion (11), the distal end of which is provided with a tapered nose portion (12). At least one drogue assembly (20) is mounted on the second space object (2) for releasably capturing the probe member 10 upon the first and second objects (1 and 2) being brought into close proximity with each other. The drogue assembly (20) may comprise a housing (21, 28) which carries a cone subassembly (40, 41) having inwardly tapered conical surfaces (42, 43) for receiving the probe member (10). The housing (21, 28) carries a plurality of latch members (70) radially movable between retracted positions in which the latch members (70) do not project inwardly of the tapered conical surfaces (42, 43), and extended positions, in which the latch members (70) project inwardly of the tapered conical surfaces (42, 43) for engagement with the probe member (10). An operator assembly including an actuator arm (90) is carried by the housing (21, 28) and operable, when the probe (10) has been fully received, to lock the latch members (70) in the extended positions engaging the probe members (10) and releasably connecting the probe members (10) and the drogue assembly (20) in a substantially fixed axial relationship.",Apparatus for releasably connecting first and second objects in predetermined space relationship,1984
"A hexagonal protective and high temperature resistant system for the Space Shuttle Orbiter consists of a multiplicity of pockets formed by hexagonally oriented spacer bars 11 secured ot the vehicle substructure 12, a packing of low density insulating batt material 18 in each pocket, and a thin protective panel 19 of laterally resilient advanced carbon-carbon material surmounting the peripheral bars 11 and packing 18. Each panel 19 has three stepped or offset lips on contiguous edges, as M-1, M-2, M-3, the other three edges, as M-4, M-5, M-6, being non-stepped, i.e., flat so that complementary edges of abutting panels rest against the peripheral bars. At the center of each pocket is a fully insulated stanchion 15 secured to and connecting the substructure and panel for flexing the panel toward the substructure and thereby prestressing the panel and forcing the panel edges firmly against the spacer bars.",Pre-stressed thermal protection systems,1984
"A three stage rocket vehicle (11) having a large forward propellant tank (12) and a small aft propellant tank (13) axially aligned. Secured to the rear end of the aft propellant tank (13) is an engine mount structure (14) carrying rocket engines (15). Offset and secured to the propellant tanks (12,13) is a payload structure (18). The propellants from the large forward tank (12) are fed into the aft propellant tank (13) and the rocket engines (15) are fed propellants from the aft propellant tank (13). This arrangement enables the vehicle to parallel stage its use of engines and components.",Three stage rocket vehicle with parallel staging,1984
"A space shuttle system (11) having an orbiter spacecraft (16) with main rocket engines (43) a large external propellant tank (12), and two solid rocket boosters (13,14). The propellant tank (12) has a forward pressure vessel (19) for liquid hydrogen and an aft pressure vessel (20) for liquid oxygen. The two solid rocket boosters (13, 14) are joined together by a thrust frame (15) which extends behind the external tank. The thrust of the orbiter's main rocket engines (43) are transmitted to the aft portion of the external tank (12).",Space shuttle with rail system and aft thrust structure securing solid rocket boosters to external tank,1984
"A reusable, externally applied thermal protection system is disclosed and functions by utilizing shell tile structure 10 which effectively separates its primary functions as an insulator and load absorber. Tile 10 consists of structurally strong upper and lower metallic shells 12,16 manufactured from materials meeting the thermal and structural requirements incident to tile 10 placement on the spacecraft. A lightweight, high temperature package of insulation 26 is utilized in upper shell 12, while a lightweight, low temperature insulation 28 is utilized in lower shell 16. Assembly of tile 10, which is facilitated by self-locking mechanism 20, may occur subsequent to installation of lower shell 16 on the spacecraft structural skin 30.",Shell tile thermal protection system,1984
"An assembly for supporting a flexible service line between a base structure and an object body mounted to the base structure for movement about lateral and elevation gimbal axes includes lateral and elevation drums fixedly mounted to the body and base structure, respectively, and an arm interconnecting the drums. A spiral groove is defined in the periphery of each drum for receiving looped portions of the flexible line therein. The arm supports a portion of the line extending between its looped portions. Also, the arm is rotatably mounted at its opposite ends to the drums for accommodating relative movement between the body and base structure about the respective gimbal axes. The looped portions of the flexible lines are confined in the grooves on the drums and may expand and contract therein as the body moves relative to the base structure about the gimbal axes.",Flexible line support assembly,1984
A space vehicle 10 is steered from outer space toward the earth's atmosphere main rocket nozzle end first. An inflatable braking member 28 is deployed around the vehicle 10 by introducing gas into it. The main rocket motor 16 is ignited to produce a substantially throttled stream of gases. This stream provides a cooling layer forwardly of the braking member 28 to protect the member 28 from heating by friction with the atmosphere. The reduction of the velocity of the vehicle 10 is controlled by directly varying the drag of the vehicle 10 to compensate for variations in the density of the atmosphere. The drag is varied by varying the thrust of the motor 16 and/or varying the shape of the member 28. A backup method is to deflate the member 28 in the atmosphere. The member 28 may be jettisoned after the vehicle 10 leaves the atmosphere to enter a low earth orbit.,Aerodynamic braking and recovery method for a space vehicle,1985
"A payload retention system for securing and retaining a payload in a fixed docked position on a platform in a cargo bay of a space vehicle is disclosed which includes a plurality of latching assemblies 16 carried by platform 10 each of which includes a latching member A having a contoured spherical latch element 24. A plurality of payload latching elements B are carried by the payload having a complementary contoured spherical latch element 18. The latching elements 18 are carried in interlatching alignment with the latching members 24 of the latching assemblies 16 defining latch couplings C. Spherical latch element 18 has a convex latching surface 19 and spherical element 24 has a concave latching surface 25 which mate and couple with one another when interlatched. The spherical latch elements 18, 24 having their axes aligned with one another when interlatched whereby the payload is retained in a fixed docked position. The spherical latch elements allow free rotation about their coupling axis 80 while limiting movement along these axes.",Hemispherical latching apparatus,1985
